Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Res2_Phage_A1_1	68.28258020281189	43.0	221.41358101599104	30.0	2785123.0
Res2_Phage_A1_2	63.78335855112558	44.0	228.79044264831393	40.0	2785123.0
Res2_Phage_A2_1	67.89645899010029	34.0	152.24071824201442	20.0	3064371.0
Res2_Phage_A2_2	66.67689495229322	34.0	155.99720138325287	30.0	3064371.0
Res2_Phage_A3_1	64.59965737074171	48.0	252.17133147976523	30.0	178035.0
Res2_Phage_A3_2	56.73210323812734	50.0	260.0600275226781	50.0	178035.0
Res2_Phage_A4_1	44.32310018337957	29.0	186.46579702970297	20.0	606000.0
Res2_Phage_A4_2	42.34235535271178	29.0	188.6756501650165	30.0	606000.0
Res2_Phage_A5_1	40.530520966253235	41.0	196.25756028065106	20.0	999533.0
Res2_Phage_A5_2	38.477199143685404	42.0	202.1761652691807	30.0	999533.0
Res2_Phage_A6_1	31.678068014646954	46.0	239.61229768854716	20.0	294966.0
Res2_Phage_A6_2	27.037707091530876	48.0	248.16957208627434	20.0	294966.0
Res2_Phage_B1_1	42.46314030209775	35.0	172.3589357458526	20.0	2439718.0
Res2_Phage_B1_2	40.98603033915834	36.0	178.32050712418402	30.0	2439718.0
Res2_Phage_B2_1	81.12074719144367	38.0	184.19475098357222	20.0	5154680.0
Res2_Phage_B2_2	78.26685437263784	38.0	186.26998222974075	30.0	5154680.0
Res2_Phage_B3_1	36.43704907444552	35.0	218.78541821571653	20.0	360436.0
Res2_Phage_B3_2	34.462300988530785	36.0	222.73070669966373	30.0	360436.0
Res2_Phage_B4_1	51.96511957214083	35.0	202.14423707604772	30.0	1669439.0
Res2_Phage_B4_2	49.088746722807706	36.0	207.92622611547952	30.0	1669439.0
Res2_Phage_B5_1	53.66386613415777	39.0	166.4153898088002	20.0	402877.0
